"Space","Folder","List","Record Type","Epic ID","Feature ID","Task ID","Parent Task ID","Task Name","Description","Status","Priority","Area","Sprint","Release","Story Points","Dependencies","Spec Source","Acceptance Criteria","Tags"
"VCSA Product","WL Sales Academy E2E","00 Planning","Epic","E00","","E00","","Project Foundation and Git Hygiene","Prepare repository, branching, documentation, and backlog workflow.","Ready","P0","DevOps, Product","Sprint 0","Release 0","5","","doc/specs/wl-sales-academy/12-IMPLEMENTATION-ROADMAP.md","Repo has clean main branch, docs committed, planning ready for review.","foundation,git"
"VCSA Product","WL Sales Academy E2E","00 Planning","Feature","E00","F00.1","F00.1","E00","Initial repository setup","Create clean main branch and initial documentation commit.","Done","P0","DevOps","Sprint 0","Release 0","2","","doc/specs/wl-sales-academy/README.md","Main branch exists and tracks origin/main.","foundation,git"
"VCSA Product","WL Sales Academy E2E","00 Planning","Feature","E00","F00.2","F00.2","E00","Branch strategy and PR workflow","Define branch naming, PR process, review rules, and merge expectations.","Ready","P0","DevOps, Product","Sprint 0","Release 0","2","F00.1","doc/wiki/Contributing.md","Team can create feature branches and review work through PRs.","foundation,git"
"VCSA Product","WL Sales Academy E2E","00 Planning","Feature","E00","F00.3","F00.3","E00","Documentation source of truth","Confirm which specs control product, UX, API, data, and compliance behavior.","Ready","P0","Product","Sprint 0","Release 0","2","","doc/specs/wl-sales-academy/README.md","Source docs are listed and linked from planning.","planning,docs"
"VCSA Product","WL Sales Academy E2E","00 Planning","Feature","E00","F00.4","F00.4","E00","ClickUp backlog import structure","Create import-ready backlog with epics, features, tasks, areas, and sprints.","Ready","P0","Product, PMO","Sprint 0","Release 0","3","F00.3","doc/planning/E2E_SCRUM_PLAN.md","CSV can be mapped into ClickUp fields.","planning,clickup"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Epic","E01","","E01","","Monorepo and App Architecture","Create runnable app, webapp, backend, and shared package skeleton.","Backlog","P0","DevOps, Mobile, Webapp, Backend","Sprint 1","Release 0","21","","doc/specs/wl-sales-academy/wiki/04-TECHNICAL-WIKI.md","Mobile, webapp, and backend start locally.","architecture,foundation"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E01","F01.1","F01.1","E01","Workspace setup","Create root workspace with package scripts and shared configuration.","Backlog","P0","DevOps","Sprint 1","Release 0","3","","doc/specs/wl-sales-academy/wiki/04-TECHNICAL-WIKI.md","Root install and scripts work from clean checkout.","architecture"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Task","E01","F01.1","T01.1.1","F01.1","Create root package manager config","Add root package file, workspace config, scripts, and README commands.","Backlog","P0","DevOps","Sprint 1","Release 0","2","","doc/wiki/Getting-Started.md","Developer can install dependencies and see available commands.","architecture"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Task","E01","F01.1","T01.1.2","F01.1","Add shared TypeScript config","Create reusable TS config for apps and packages.","Backlog","P0","DevOps","Sprint 1","Release 0","1","T01.1.1","doc/specs/wl-sales-academy/wiki/04-TECHNICAL-WIKI.md","Apps can extend shared TS config.","architecture"
"VCSA Product","WL Sales Academy E2E","01 Sprint Backlog","Feature","E01","F01.2","F01.2","E01","Mobile Expo app","Scaffold Expo React Native app for iOS, Android, and web preview.","Backlog","P0","Mobile","Sprint 1","Release 0","5","F01.1","doc/specs/wl-sales-academy/01-SRS.md","Mobile app starts and renders initial shell.","mobile,expo"
